id,country_name,geo_id,industry_name,industry_id,size_label,size_code,status,last_page,total_found,created_at,updated_at
1164612,Austria,103883259,Manufacturing,22,11-50 employees,C,exhausted,10,100,2026-03-15T16:35:44Z,2026-03-15T16:52:25Z
1164710,Austria,103883259,Retail,27,11-50 employees,C,exhausted,10,100,2026-03-15T16:35:44Z,2026-03-15T17:04:47Z
1195692,Austria,103883259,Blockchain Services,3130,11-50 employees,C,exhausted,10,30,2026-03-21T13:34:57Z,2026-03-21T13:46:16Z
1195811,Austria,103883259,Cosmetics,31,11-50 employees,C,exhausted,10,100,2026-03-21T13:34:57Z,2026-03-21T13:41:54Z
1195972,Austria,103883259,Hospitality,32,11-50 employees,C,exhausted,10,100,2026-03-21T13:34:57Z,2026-03-21T13:50:54Z
1196077,Austria,103883259,Leisure Travel and Tourism,34,11-50 employees,C,exhausted,10,100,2026-03-21T13:34:57Z,2026-03-21T14:01:34Z
1196126,Austria,103883259,Media Production,33,11-50 employees,C,exhausted,10,100,2026-03-21T13:34:57Z,2026-03-21T13:54:37Z
1196140,Austria,103883259,Mining,36,11-50 employees,C,exhausted,10,100,2026-03-21T13:34:57Z,2026-03-27T16:21:16Z
1196203,Austria,103883259,Restaurants,35,11-50 employees,C,exhausted,10,100,2026-03-21T13:34:57Z,2026-03-21T14:05:28Z
1227178,Austria,103883259,Banking,43,11-50 employees,C,exhausted,10,100,2026-03-27T16:18:17Z,2026-04-05T15:22:33Z
1227514,Austria,103883259,Insurance,42,11-50 employees,C,exhausted,10,100,2026-03-27T16:18:17Z,2026-03-27T16:38:21Z
1227647,Austria,103883259,Motion Pictures and Film,38,11-50 employees,C,exhausted,10,100,2026-03-27T16:18:17Z,2026-03-27T16:29:34Z
1227661,Austria,103883259,Oil and Gas,37,11-50 employees,C,exhausted,10,100,2026-03-27T16:18:17Z,2026-03-27T16:25:28Z
1227717,Austria,103883259,SaaS,4,11-50 employees,C,exhausted,10,100,2026-03-27T16:18:17Z,2026-03-27T16:34:08Z
1258755,Austria,103883259,Commercial Real Estate,44,11-50 employees,C,exhausted,10,100,2026-04-05T15:19:37Z,2026-04-05T15:26:34Z
1258783,Austria,103883259,Construction,48,11-50 employees,C,exhausted,10,100,2026-04-05T15:19:37Z,2026-04-05T15:35:18Z
1258790,Austria,103883259,Consumer Electronics,5,11-50 employees,C,exhausted,10,90,2026-04-05T15:19:37Z,2026-04-10T14:43:32Z
